region,gender,english,math,year,country
"Central","Male",4.120344,5.702046,2010,"Kenya"
"Central","Female",4.212914,5.811076,2010,"Kenya"
"Coast","Male",3.596521,5.152075,2010,"Kenya"
"Coast","Female",3.708697,5.296151,2010,"Kenya"
"Eastern","Male",3.809334,5.468268,2010,"Kenya"
"Eastern","Female",3.949856,5.624927,2010,"Kenya"
"North Eastern","Male",3.370893,4.732597,2010,"Kenya"
"North Eastern","Female",3.178516,4.428911,2010,"Kenya"
"Nyanza","Male",3.745661,5.420062,2010,"Kenya"
"Nyanza","Female",3.870641,5.50085,2010,"Kenya"
"Rift Valley","Male",3.681275,5.19831,2010,"Kenya"
"Rift Valley","Female",3.737362,5.245498,2010,"Kenya"
"Western","Male",3.590159,5.085201,2010,"Kenya"
"Western","Female",3.744224,5.294445,2010,"Kenya"
"Central","Male",4.245428,6.770386,2011,"Kenya"
"Central","Female",4.373475,6.919864,2011,"Kenya"
"Coast","Male",3.616029,5.717882,2011,"Kenya"
"Coast","Female",3.680325,5.829203,2011,"Kenya"
"Eastern","Male",3.813391,6.144763,2011,"Kenya"
"Eastern","Female",3.924263,6.25096,2011,"Kenya"
"Nairobi","Male",4.197183,6.647887,2011,"Kenya"
"Nairobi","Female",4.359756,6.676829,2011,"Kenya"
"North Eastern","Male",3.570375,5.539014,2011,"Kenya"
"North Eastern","Female",3.303413,5.103601,2011,"Kenya"
"Nyanza","Male",3.729965,6.080645,2011,"Kenya"
"Nyanza","Female",3.834596,6.241057,2011,"Kenya"
"Riftvalley","Male",3.677794,5.836196,2011,"Kenya"
"Riftvalley","Female",3.772013,5.949822,2011,"Kenya"
"Western","Male",3.560743,5.802909,2011,"Kenya"
"Western","Female",3.748696,6.01868,2011,"Kenya"
"Central","Male",4.212485,6.657833,2012,"Kenya"
"Central","Female",4.354374,6.840807,2012,"Kenya"
"Coast","Male",3.627141,5.855685,2012,"Kenya"
"Coast","Female",3.686607,5.927901,2012,"Kenya"
"Eastern","Male",3.792139,6.105303,2012,"Kenya"
"Eastern","Female",3.883878,6.227303,2012,"Kenya"
"Nairobi","Male",4.250323,6.662714,2012,"Kenya"
"Nairobi","Female",4.364692,6.791569,2012,"Kenya"
"North Eastern","Male",3.421037,5.318013,2012,"Kenya"
"North Eastern","Female",3.244827,4.963765,2012,"Kenya"
"Nyanza","Male",3.671027,6.001158,2012,"Kenya"
"Nyanza","Female",3.771999,6.101998,2012,"Kenya"
"Rift Valley","Male",3.65138,5.839726,2012,"Kenya"
"Rift Valley","Female",3.732964,5.916614,2012,"Kenya"
"Western","Male",3.518607,5.695196,2012,"Kenya"
"Western","Female",3.691153,5.92625,2012,"Kenya"
