region,gender,english,math,year,country
"Central","Male",4.120344,5.702046,2010,"Kenya"
"Central","Female",4.212914,5.811076,2010,"Kenya"
"Coast","Male",3.596521,5.152075,2010,"Kenya"
"Coast","Female",3.708697,5.296151,2010,"Kenya"
"Eastern","Male",3.809334,5.468268,2010,"Kenya"
"Eastern","Female",3.949856,5.624927,2010,"Kenya"
"North Eastern","Male",3.370893,4.732597,2010,"Kenya"
"North Eastern","Female",3.178516,4.428911,2010,"Kenya"
"Nyanza","Male",3.745661,5.420062,2010,"Kenya"
"Nyanza","Female",3.870641,5.50085,2010,"Kenya"
"Rift Valley","Male",3.681275,5.19831,2010,"Kenya"
"Rift Valley","Female",3.737362,5.245498,2010,"Kenya"
"Western","Male",3.590159,5.085201,2010,"Kenya"
"Western","Female",3.744224,5.294445,2010,"Kenya"
