region,gender,english,math,year,country
"Arusha"," Male",2.941033,5.516753,2011,"Tanzania"
"Arusha","Female",3.050145,5.52043,2011,"Tanzania"
"Dar Es Salaam"," Male",3.058824,5.665981,2011,"Tanzania"
"Dar Es Salaam","Female",3.19141,5.784716,2011,"Tanzania"
"Dodoma"," Male",2.509125,5.007299,2011,"Tanzania"
"Dodoma","Female",2.574368,5.119315,2011,"Tanzania"
"Iringa"," Male",3.142153,5.752821,2011,"Tanzania"
"Iringa","Female",3.179679,5.827721,2011,"Tanzania"
"Kagera"," Male",2.559104,4.976676,2011,"Tanzania"
"Kagera","Female",2.629047,5.041186,2011,"Tanzania"
"Kigoma"," Male",2.585635,4.944368,2011,"Tanzania"
"Kigoma","Female",2.44095,4.814355,2011,"Tanzania"
"Kilimanjaro"," Male",3.229414,5.83672,2011,"Tanzania"
"Kilimanjaro","Female",3.434497,6.028503,2011,"Tanzania"
"Lindi"," Male",2.463027,5.047433,2011,"Tanzania"
"Lindi","Female",2.450999,5.108133,2011,"Tanzania"
"Manyara"," Male",2.868598,5.424804,2011,"Tanzania"
"Manyara","Female",3.020893,5.669911,2011,"Tanzania"
"Mara"," Male",2.608314,5.104138,2011,"Tanzania"
"Mara","Female",2.559041,5.020344,2011,"Tanzania"
"Mbeya"," Male",2.856143,5.550488,2011,"Tanzania"
"Mbeya","Female",2.953916,5.707736,2011,"Tanzania"
"Morogoro"," Male",2.660244,5.334892,2011,"Tanzania"
"Morogoro","Female",2.708494,5.389155,2011,"Tanzania"
"Mtwara"," Male",2.440139,5.119818,2011,"Tanzania"
"Mtwara","Female",2.476657,5.225568,2011,"Tanzania"
"Mwanza"," Male",2.524183,5.125772,2011,"Tanzania"
"Mwanza","Female",2.530327,5.055452,2011,"Tanzania"
"Pwani"," Male",2.616028,5.298179,2011,"Tanzania"
"Pwani","Female",2.73506,5.468078,2011,"Tanzania"
"Rukwa"," Male",2.53204,5.290902,2011,"Tanzania"
"Rukwa","Female",2.483396,5.197423,2011,"Tanzania"
"Ruvuma"," Male",2.591296,5.261849,2011,"Tanzania"
"Ruvuma","Female",2.616682,5.203712,2011,"Tanzania"
"Shinyanga"," Male",2.464965,4.868473,2011,"Tanzania"
"Shinyanga","Female",2.411717,4.828923,2011,"Tanzania"
"Singida"," Male",2.837808,5.431503,2011,"Tanzania"
"Singida","Female",2.873433,5.418096,2011,"Tanzania"
"Tabora"," Male",2.504396,4.959358,2011,"Tanzania"
"Tabora","Female",2.529049,5.026719,2011,"Tanzania"
"Tanga"," Male",2.619087,5.36865,2011,"Tanzania"
"Tanga","Female",2.765029,5.500546,2011,"Tanzania"
