region,gender,english,math,year,country
"Central","Male",3.01994,4.993942737579346,2010,"Uganda"
"Central","Female",3.20457,5.064741611480713,2010,"Uganda"
"Eastern","Male",2.46753,4.163113117218018,2010,"Uganda"
"Eastern","Female",2.44422,4.144344329833984,2010,"Uganda"
"Nothern","Male",2.40444,4.073684215545654,2010,"Uganda"
"Nothern","Female",2.2061,3.757004737854004,2010,"Uganda"
"Western","Male",2.72737,4.38252067565918,2010,"Uganda"
"Western","Female",2.78831,4.439557552337647,2010,"Uganda"
"Central","Male",2.9939,4.639935493469238,2011,"Uganda"
"Central","Female",3.19026,4.780497074127197,2011,"Uganda"
"Eastern","Male",2.60796,4.321577548980713,2011,"Uganda"
"Eastern","Female",2.66699,4.29975175857544,2011,"Uganda"
"Nothern","Male",2.68689,4.337536811828613,2011,"Uganda"
"Nothern","Female",2.51892,4.105277538299561,2011,"Uganda"
"Western","Male",2.90821,4.439565658569336,2011,"Uganda"
"Western","Female",2.98953,4.527872085571289,2011,"Uganda"
"Central","Male",3.1027,4.26545524597168,2012,"Uganda"
"Central","Female",3.26494,4.440045833587647,2012,"Uganda"
"Eastern","Male",2.68479,3.979475021362305,2012,"Uganda"
"Eastern","Female",2.71355,3.956202745437622,2012,"Uganda"
"Nothern","Male",2.75164,4.096097946166992,2012,"Uganda"
"Nothern","Female",2.58616,3.853096008300781,2012,"Uganda"
"Western","Male",3.033,4.202039241790772,2012,"Uganda"
"Western","Female",3.10368,4.272798538208008,2012,"Uganda"
